series_code,series_name,measure_type,debt_value_usd,value_billions_usd
DT.TDS.PCBK.CB.CD,"CB, commercial banks (TDS, current US$)",other_debt_monetary,2156129337.0,2.156129337
DT.AMT.OFFT.CB.CD,"CB, official creditors (AMT, current US$)",other_debt_monetary,1976523829.0,1.976523829
DT.AMT.PCBK.CB.CD,"CB, commercial banks (AMT, current US$)",other_debt_monetary,1912236856.3,1.9122368562999998
DT.INT.DECB.CD,"Interest payments on external debt, central bank (PPG) (INT, current US$)",interest_payment,1439380630.0,1.43938063
DT.AXR.OFFT.CD,"Principal rescheduled, official (current US$)",other_debt_monetary,1409378037.2,1.4093780372
DT.DOD.PCBK.PRVG.CD,"PRVG, commercial banks (DOD, current US$)",other_debt_monetary,1354808949.0,1.354808949
DT.NFL.DECB.CD,"Net flows on external debt, central bank (PPG) (NFL, current US$)",net_flow,1321659486.2,1.3216594862
DT.DOD.OFFT.PRVG.CD,"PRVG, official creditors (DOD, current US$)",other_debt_monetary,1225216651.0,1.225216651
DT.INT.OFFT.CB.CD,"CB, official creditors (INT, current US$)",other_debt_monetary,1125893149.5,1.1258931495
DT.NTR.PCBK.GG.CD,"GG, commercial banks (NTR, current US$)",other_debt_monetary,1077283000.0,1.077283
DT.NFL.OFFT.CB.CD,"CB, official creditors (NFL, current US$)",other_debt_monetary,971859181.4,0.9718591813999999
DT.TDS.PRPG.CD,"Debt service on external debt, private guaranteed by public sector (PPG) (TDS, current US$)",debt_service,947914930.2,0.9479149302000001
DT.NFL.PCBK.CB.CD,"CB, commercial banks (NFL, current US$)",other_debt_monetary,639832000.0,0.639832
DT.INT.PRPG.CD,"Interest payments on external debt, private guaranteed by public sector (PPG) (INT, current US$)",interest_payment,566504949.3,0.5665049493
DT.TDS.PBND.PRVG.CD,"PRVG, bonds (TDS, current US$)",other_debt_monetary,472462493.0,0.472462493
DT.INT.PBND.PRVG.CD,"PRVG, bonds (INT, current US$)",other_debt_monetary,472462493.0,0.472462493
DT.DOD.PBND.CB.CD,"CB, bonds (DOD, current US$)",other_debt_monetary,463295000.0,0.463295
DT.NTR.PCBK.CB.CD,"CB, commercial banks (NTR, current US$)",other_debt_monetary,395939000.0,0.395939
DT.TDS.PBND.CB.CD,"CB, bonds (TDS, current US$)",other_debt_monetary,394716000.0,0.394716
DT.AMT.PRPG.CD,"Principal repayments on external debt, private guaranteed by public sector (PPG) (AMT, current US$)",principal_repayment,381409980.9,0.3814099809
DT.DIS.PRPG.CD,"Disbursements on external debt, private guaranteed by public sector (PPG) (DIS, current US$)",disbursement,374146306.2,0.3741463062
DT.AMT.PBND.CB.CD,"CB, bonds (AMT, current US$)",other_debt_monetary,329584000.0,0.329584
DT.DIS.PCBK.PRVG.CD,"PRVG, commercial banks (DIS, current US$)",other_debt_monetary,287678515.2,0.2876785152
DT.TDS.PCBK.PRVG.CD,"PRVG, commercial banks (TDS, current US$)",other_debt_monetary,269963433.3,0.2699634333
DT.INT.PCBK.CB.CD,"CB, commercial banks (INT, current US$)",other_debt_monetary,243892480.5,0.2438924805
DT.TDS.OFFT.PRVG.CD,"PRVG, official creditors (TDS, current US$)",other_debt_monetary,205489003.9,0.2054890039
DT.AMT.PCBK.PRVG.CD,"PRVG, commercial banks (AMT, current US$)",other_debt_monetary,204291478.6,0.2042914786
DT.AMT.OFFT.PRVG.CD,"PRVG, official creditors (AMT, current US$)",other_debt_monetary,177118502.29999998,0.17711850229999998
DT.AXF.DPPG.CD,Principal forgiven (current US$),other_debt_monetary,153506541.6,0.1535065416
DT.DOD.MDRI.CD,Debt forgiveness grants (current US$),debt_relief,109929536.0,0.109929536
DT.DIS.OFFT.PRVG.CD,"PRVG, official creditors (DIS, current US$)",other_debt_monetary,86467791.0,0.086467791
DT.NFL.PCBK.PRVG.CD,"PRVG, commercial banks (NFL, current US$)",other_debt_monetary,83387000.0,0.083387
DT.INT.PCBK.PRVG.CD,"PRVG, commercial banks (INT, current US$)",other_debt_monetary,65671954.7,0.06567195470000001
